plain_language_program_name,language,get_help_summary,how_to_apply_or_enroll_by_1,office_locations_url
معذوریوں کے حامل افراد کے کرایہ میں اضافہ نہ کرنا,Urdu,ویب سائٹس ملاحظہ کریںمزید جاننے کے لیے NYC رینٹ فریز پروگرام کی ویب سائٹ (http://www1.nyc.gov/site/rentfreeze/index.page) ملاحظہ کریں۔COVID-19 کے دوران کرایہ منجمد کرنے کے پروگرام (SCRIE اور DRIE) کیلئے اکثر پوچھے گئے سوالات (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) کا جائزہ لیں۔DRIE سے رابطہ کریںمحکمہ مالیات سے (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-drie.page) مدد کی درخواست کریں۔TTY کا استعمال کر کے DRIE کو کال کریںاگر آپ کو سننے میں دشواری ہوتی ہے تو 9675-639-212 پر کال کریں۔311 پر کال کریںDRIE کے ماہرین کے بارے میں پوچھیں۔,"اگرآپ Housing Development Fund Company, HDFC (ہاؤسنگ ڈیولپمنٹ فنڈ کمپنی) کے کسی اپارٹمنٹ یا Mitchell-Lama اپارٹمنٹ میں رہتے/رہتی ہیں، تو 8494-863-212 پر HPD کو کال کریں۔",{'url': 'https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page'}
Programy pozalekcyjne dla uczniów,Polish,"Przez InternetZachęcamy do zapoznania się z dodatkowymi informacjami na temat programu COMPASS w (http://www1.nyc.gov/site/dycd/services/after-school/comprehensive-after-school-system-of-new-york-city-compass.page) DYCD.TelefonicznieNależy zadzwonić do Youth Connect DYCD pod numer 800-246-4646 lub 646-343-6800. Można również porozmawiać z personelem prowadzącym zajęcia pozalekcyjne w szkole dziecka, aby uzyskać więcej informacji.Należy zadzwonić pod numer 311Należy zapytać o „kompleksową pomoc związaną z programem zajęć pozalekcyjnych” (Comprehensive After School Program).",,
Swen ak Edikasyon pou timoun ki gen 3 a 4 lane ki nan fanmi ki gen ti mwayen ekonomik.,Haitian Creole,\nAprann plis sou Premye Kòmansman atravè NYCDOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/head-start) .\nRele 311 epi mande pou pou “Premye Kòmansman” si w bezwen èd pou w kapab jwenn yon pwogam.,,
주택 소유주를 위한 재산세 경감,Korean,\n자세한 내용은 STAR 웹 사이트 (https://tax.ny.gov/pit/property/star/default.htm) 에서 확인할 수 있습니다.\n자세한 내용은 311 (http://www1.nyc.gov/site/finance/about/contact-us.page) 번으로 전화하여 문의해 주십시오.\nSTAR와 관련한 문의 사항은 뉴욕시 재무부(NYC Department of Finance)로 이메일을 보내주십시오.\n뉴욕주 STAR 세금 공제에 대한 자세한 정보는 뉴욕주 세무재정부(Department of Taxation and Finance) 전화 518-457-2036으로 문의하십시오.,"소득이 $250,000 이상이고 $500,000 이하인 경우 뉴욕주 STAR 세금 공제를 위해 온라인으로 등록 (https://www.tax.ny.gov/pit/property/star/) 하거나 518-457-2036번으로 전화하십시오.",
تجميد الإيجار لكبار السن,Arabic,\nتفضل بزيارة موقع SCRIE على الويب (http://nyc.gov/rentfreeze) لمعرفة المزيد حول هذا البرنامج.\nراجع الأسئلة الشائعة (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) حول برنامج تجميد الإيجار (SCRIE وDRIE) وكوفيد-19.\n (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-scrie.page) تواصل مع SCRIE عبر البريد الإلكتروني (https://www1.nyc.gov/site/hpd/services-and-information/scrie-drie.page) للمزيد من المعلومات\nاتصل على الرقم 311 واطلب التحدث مع أحد المتخصصين ببرنامج SCRIE أو اتصل على الرقم 9675-639-212 إذا كنت تعاني من صعوبة في السمعلبرنامج SCRIE الخاضع لإشراف إدارة HPD:\nتواصل مع إدارة HPD عبر البريد الإلكتروني إذا كنت تعيش في مساكن تقع في نطاق مجتمعات التطوير العقاري الخاصة بشركة Mitchell Lama أو Redevelopment Company، للحصول على مزيد من المعلومات.بادر بزيارة موقع الويب الخاص بإدارة HPD لمعرفة المزيد أو اتصل على 212-863-8494الطرحتأنياست س رات.ا,إذا كنت تعيش في إسكانٍ يقع في نطاق مجتمعات التطوير الخاصة بشركة Mitchell Lama أو Redevelopment Company، فاتصل بإدارة HPD على الرقم 8494-863-212 للتقدم بطلب للاستفادة من برنامج SCRIE الخاضع لإشراف إدارة HPD.,{'url': 'https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page'}
Rent freeze for people with disabilities,English,\nVisit the NYC Rent Freeze Program website (http://www1.nyc.gov/site/rentfreeze/index.page) to learn more.\n (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-drie.page) Request assistance (https://www.nyc.gov/site/mayorspeu/index.page) from the Department of Finance.\nCall 212-639-9675 if you have a hard time hearing.\nCall 311 and ask for a DRIE specialist.\nCall 929-252-7242 to get one-on-one help with applying for DRIE from an NYC Public Engagement Unit Specialist.,,{'url': 'https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page'}
وجبات الإفطار والغداء في المدرسة,Arabic,\nتفضل بزيارة الموقع الإلكتروني لإدارة التعليم في مدينة نيويورك (NYC DOE) لمعرفة المزيد. (https://www.schools.nyc.gov/school-life/food/free-meals-for-all) \nاتصل بمعلومات العملاء في SchoolFood على الرقم 6325-363-877 إذا كانت لديك أسئلة حول تقديم الطلبات.,,
免費或平價的托兒服務，適用於 6 週至 2 歲的兒童,Chinese (Traditional),\n透過 NYCDOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/earlylearn-nyc) 瞭解關於 EarlyLearn 的更多資訊。\n致電 311。如需協助尋找計畫，請諮詢「EarlyLearn」（早期學習）。,,{'url': 'https://www.myschools.nyc/zh-hant/schools/3k/'}
ছয় সপ্তাহ থেকে দুই বছর বয়সী বাচ্চাদের জন্য নিখরচার বা স্বল্প মূল্যের শিশু পরিচর্যা,Bengali,"\nNYCDOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/earlylearn-nyc) থেকে EarlyLearn সম্পর্কে অধিক তথ্য লাভ করুন।\n311-তে কল করুন। প্রোগ্রাম খুঁজতে সহায়তার জন্য ""EarlyLearn"" এর ব্যাপারে জিজ্ঞাসা করুন।",,{'url': 'https://www.myschools.nyc/bn/schools/3k/'}
4세 아동에게는 Pre-K가 무료입니다.,Korean,\nNYC DOE Pre-K 웹사이트 (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/pre-k) 를 방문해 Pre-K 입학 절차에 대해 자세한 내용을 살펴보십시오.\nPre-K 입학 절차에 관해 궁금한 점이 있다면 718-935-2009 (mailto:ESEnrollment@schools.nyc.gov) 번으로 문의해 주십시오.\nPre-K 입학에 대한 문의 사항이 있는 경우 ESEnrollment@schools.nyc.gov (http://nyc.gov/schools/welcomecenters) 에 이메일로 문의해 주십시오.\nPre-K 프로그램에 대한 자세한 정보를 원하시면 패밀리 웰컴 센터에 방문해주십시오.,\n718-935-2009번으로 전화해 신청하십시오.2024년 1월 10일부터 3월 1일까지 신청하십시오.\n200개 이상의 언어로 통역 서비스를 이용하실 수 있습니다.,
الائتمان الضريبي للعائلات التي لديها أطفال,Arabic,\nتعرَّف على الخصومات الضريبية (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) التي يمكنك المطالبة بها.\nاتصل بالرقم 9887-906-800 للعثور على أقرب مواقع لبرنامج المساعدة التطوعية لإعداد ضرائب الدخل (VITA) أو برنامج تقديم المشورة الضريبية لمقدمي الإقرار الضريبي من كبار السن (TCE).,,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
بزرگ مکان مالکوں کے لیے پراپرٹی ٹیکس میں وقفہ,Urdu,\nمزید جاننے کے لیے SCHE کی ویب سائٹ (http://www1.nyc.gov/site/finance/benefits/landlords-sche.page) ملاحظہ کریں۔\n212-639-9675 (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) کو کال کریں۔ TTY یا ٹیکسٹ ٹیلیفون کیلئے، 9675-639-212 پر کال کریں\nمزید معلومات کے لیے SCHE کو ای میل کریں۔,,{'url': 'http://www1.nyc.gov/site/finance/pay-now/person.page'}
استرداد الضريبة إذا دفعت أجرًا نظير رعاية الأطفال والمُعالين,Arabic,\nتعرَّف على الخصومات الضريبية (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) التي يمكنك المطالبة بها.\nاتصل بالرقم 9887-906-800 للعثور على أقرب مواقع لبرنامج المساعدة التطوعية لإعداد ضرائب الدخل (VITA) أو برنامج تقديم المشورة الضريبية لمقدمي الإقرار الضريبي من كبار السن (TCE).,,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
Деньги на покупку продуктов питания,Russian,"\nПодробную информацию можно получить на сайте программы SNAP (https://www1.nyc.gov/site/hra/help/snap-benefits-food-program.page) .\nЕсли вам требуется помощь в подаче заявления на участие в программе SNAP, позвоните на справочную линию HRA (HRA Infoline) по телефону 718-557-1399 (https://www1.nyc.gov/site/hra/locations/snap-locations.page) .\nПосетите центр SNAP (https://www1.nyc.gov/site/hra/partners/find-a-partner-organization.page) или местную общественную организацию, чтобы получить помощь лично.",,{'url': 'https://www1.nyc.gov/site/hra/locations/snap-locations.page'}
Property tax break for senior homeowners,English,\nSend a message at nyc.gov/contactdof (http://www.nyc.gov/contactdof) \nVisit the SCHE website (http://www1.nyc.gov/site/finance/benefits/landlords-sche.page) to learn more.\nCall 212-NEW-YORK (212-639-9675 (https://www.nyc.gov/site/mayorspeu/index.page) )\nCall 929-252-7242 to get one-on-one help with applying for SCHE from an NYC Public Engagement Unit Specialist.,,{'url': 'http://www1.nyc.gov/site/finance/pay-now/person.page'}
노령자를 위한 임대료 동결,Korean,"\nSCRIE 웹사이트 (http://nyc.gov/rentfreeze) 에서 이 프로그램의 내용을 확인하십시오.\n임대료 동결 프로그램(SCRIE 및 DRIE)과 COVID-19 자주 하는 질문 (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) 을 검토하십시오.\n (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-scrie.page) SCRIE로 이메일을 보내 (https://www1.nyc.gov/site/hpd/services-and-information/scrie-drie.page) 자세한 정보를 문의하십시오.\n311번으로 전화하여 SCRIE 전문가를 요청하거나 청각 장애가 있는 경우 212-639-9675로 전화하십시오.HPD 감독 SCRIE의 경우:\n신청을 원하거나 Mitchell-Lama 또는 재개발 기업 개발 구역에 거주하시는 경우, HPD로 이메일을 보내 자세한 정보를 알아보실 수 있습니다.\nHPD 웹사이트를 방문하여 자세히 알아보거나 212-863-8494 로 전화하여 문의하십시오.",Mitchell-Lama 또는 재개발 기업 개발 구역에 거주하시는 경우 전화 212-863-8494로 HPD에 전화하여 HPD 감독 SCRIE를 신청하십시오.,{'url': 'https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page'}
Congelamiento de la renta para personas de la tercera edad,Spanish,"\nPara obtener más información sobre el programa, consulte el sitio web de SCRIE (http://nyc.gov/rentfreeze) .\nConsulte el Programa de congelamiento de la renta (Rent Freeze Program) (Exención de aumento de la renta para adultos mayores [SCRIE] y Exención del aumento de renta para personas con discapacidad [DRIE]) y las preguntas frecuentes (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) sobre el COVID-19.\nPara obtener más información (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-scrie.page) envié un correo electrónico a SCRIE (https://www1.nyc.gov/site/hpd/services-and-information/scrie-drie.page) \nLlame al 311 y pregunte por un especialista en SCRIE o al 212-639-9675 si tiene dificultades auditivasPara SCRIE supervisado por HPD:\nEnvié un correo electrónico a HPD para obtener más información si quiere presentar una solicitud o vivir en el complejo de viviendas de Redevelopment Company o Mitchell-Lama.\nVisite el sitio web de HPD para obtener más información o llame al 212-863-8494 si tiene alguna pregunta.","Si vive en los complejos de viviendas de Redevelopment Company o Mitchell-Lama, llame a HPD al 212-863-8494 para presentar una solicitud para SCRIE supervisado por HPD.",{'url': 'https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page'}
임대료 일부를 지급하는 바우처,Korean,"\nNYCHA 웹사이트에서 (http://www1.nyc.gov/site/nycha/section-8/about-section-8.page) 섹션 8에 대해 자세히 알아보십시오. (https://wb-nycha.qmatic.cloud/) \nNYCHA 고객 문의 센터(Customer Contact Center, CCC)에 718-707-7771번으로 문의하십시오.\n고객 문의 센터를 방문해 일정을 예약해 주십시오.",,
Gel des loyers pour les personnes handicapées,French,"Rendez-vous sur les sites internetPour en savoir plus, consultez le site internet du programme de gel des loyers de la ville de New York (http://www1.nyc.gov/site/rentfreeze/index.page) .Consultez la foire aux questions (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) sur le programme de gel des loyers pendant l’épidémie de COVID-19.Contactez le DRIE (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-drie.page) Demandez une assistance au ministère des Finances.Appelez le DRIE à l’aide du téléscripteurAppelez le 212-639-9675 si vous avez des problèmes d’audition.Appelez le 311Demandez des spécialistes du DRIE.","Si vous habitez dans un appartement de Housing Development Fund Company (HDFC) (Société de fonds de développement immobilier) ou appartenant au lotissement Mitchell-Lama, appelez HPD au 212-863-8494 pour déposer votre demande.",{'url': 'https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page'}
Lajan pou depans chofaj ak sèvis piblik,Haitian Creole,\nAle sou sit entènèt OTDA pou HEAP la (https://otda.ny.gov/programs/heap/) pou aprann plis sou pwogram sa a.\nRele 718-557-1399 pou jwenn èd nan HEAP.\nRele 311 epi mande pou yo ede ou nan Pwogram Èd pou Enèji nan Kay la.,Aplikasyon pou Benefis Ijans 2024-25 la te fèmen nan dat 7 avril 2025. Ou pa ka aplike pou yon benefis HEAP regilye pa telefòn. Rele nan718-557-1399pou w aplike pou Avantaj Ijans lan oswa pou w verifye estati aplikasyon ou a. Dabò ou dwe aplike epi jwenn apwobasyon pou Avantaj Nòmal HEAP la.,{'url': 'https://otda.ny.gov/programs/heap/contacts/default.asp?county=New%20York%20City#result'}
"miesięczna pomoc finansowa, gdy jesteś w potrzebie",Polish,\nWięcej informacji o programie można znaleźć na stronie internetowej programu pomocy pieniężnej (http://www1.nyc.gov/site/hra/help/cash-assistance.page) .\nWięcej informacji można uzyskać dzwoniąc na infolinię HRA pod numer 718-557-1399.,,{'url': 'http://www1.nyc.gov/site/hra/locations/job-locations.page'}
Vales que pagan parte de su alquiler,Spanish,"\n (http://www1.nyc.gov/site/nycha/section-8/about-section-8.page) Obtenga más información sobre la Sección 8 (https://wb-nycha.qmatic.cloud/) en el sitio web de la NYCHA.\nLlame al Centro de atención al cliente (Customer Contact Center, CCC) de la NYCHA al 718-707-7771.\nAgende una cita para visitar un Centro de atención al cliente (Customer Contact Center, CCC).",,
Private health insurance plans,English,\nLearn more about your health insurance options through HRA's Office of Citywide Health Insurance Access (https://www1.nyc.gov/site/ochia/coverage-care/insurance-options.page) .\nGetCoveredNYC (https://www1.nyc.gov/nyc-resources/get-covered.page) helps New Yorkers enroll in health insurance. Dedicated specialists can assist you in your language for free.\nComplete a Health Insurance Enrollment Assistance Inquiry Form (https://nycdohmh.surveymonkey.com/r/7BB62M3) to receive a call from an enrollment counselor. Free enrollment assistance is available regardless of immigration status and in many languages. Your information will be kept private.\nCall 311 for general questions on health insurance and to find an in-person assistor.,Call NY State of Health at855-355-5777or TTY:800-662-1220.,
민간 건강 보험 플랜,Korean,건강보험 옵션에 대해 자세히 알아보기HRA의 시전역 건강보험담당부(Citywide Health Insurance Access) (https://www1.nyc.gov/site/ochia/coverage-care/insurance-options.page) 를 통해 귀하의 옵션을 자세히알아보십시오.등록 요청에 관한 도움GetCoveredNYC (https://www1.nyc.gov/nyc-resources/get-covered.page) 는 뉴욕 거주시민의 건강보험 가입을 돕습니다. 전담 전문가가 귀하의 언어로 무료 지원을 제공합니다.상담원과의 통화 요청등록 상담원과 통화하려면 건강보험 가입 지원 문의 양식 (https://nycdohmh.surveymonkey.com/r/7BB62M3) 을 작성하십시오. 무료 가입 지원은 이민상태와 관계없이 여러 언어로 제공됩니다. 귀하의 정보는 비밀로 보호됩니다.311번으로 전화 문의건강보험에 관한 일반적인 질문이 있는 경우 및 실제 상담원이 필요한 경우 위 번호로 문의하십시오.,NY State of Health에855-355-5777번 또는 TTY:800-662-1220번(TTY)으로 전화하십시오.,
Afterschool programs for students,English,"OnlineLearn more about COMPASS from (http://www1.nyc.gov/site/dycd/services/after-school/comprehensive-after-school-system-of-new-york-city-compass.page) DYCD.CallCall DYCD Community Connect at 800-246-4646 or 646-343-6800. You can also speak to the afterschool program staff at your child's school for more information.Call 311Ask for ""Comprehensive After School Program assistance.""",,
Aide financière en espèces mensuelle en cas de besoin,French,\nRendez-vous sur le site web de l'Aide financière (http://www1.nyc.gov/site/hra/help/cash-assistance.page) pour en savoir plus sur ce programme.\nAppelez la ligne téléphonique d'information de HRA au 718-557-1399 pour plus d'informations.,,{'url': 'http://www1.nyc.gov/site/hra/locations/job-locations.page'}
老年人租金凍結,Chinese (Traditional),\n造訪 SCRIE 網站 (http://nyc.gov/rentfreeze) ，以詳細瞭解計畫相關資訊。\n查看租金凍結計畫（SCRIE 和 DRIE）及 COVID-19 的 常見問題集 (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) 。\n如需詳細資訊， (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-scrie.page) 請寄送電子郵件至 SCRIE (https://www1.nyc.gov/site/hpd/services-and-information/scrie-drie.page) \n致電 311 並洽詢 SCRIE 專員，若您有聽力障礙，請致電 212-639-9675對於 HPD 監管的 SCRIE：\n如果您想申請住在 Mitchell-Lama 或 Redevelopment Company 開發住宅，請寄電子郵件給 HPD 並洽詢詳細資訊。\n造訪 HPD 的網站以瞭解更多資訊，如您有任何疑問，請致電 212-863-8494。,如果您住在 Mitchell-Lama 或 Redevelopment Company 開發住宅，請致電 212-863-8494 聯繫 HPD，以申請 HPD 監管的 SCRIE。,{'url': 'https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page'}
Yon soulajman taks sou pwopriyete pou Moun Vil New York ki andikape yo,Haitian Creole,"\nVizite yon Sant Biznis (https://access.nyc.gov/locations/?lat=6864) Department of Finance (http://www1.nyc.gov/site/finance/benefits/landlords-dhe.page) (lendi jiska vandredi 8:30 a.m. Jiska 4:30 p.m.) pou jwenn èd fas-a-fas.\nVizite sitwèb DHE (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) a pou aprann plis.\nRele DHE nan 212-NEW-YORK, oswa 212-639-9675 (deyò Vil la), oswa TTY \n212-639-9675 (moun ki gen pwoblèm pou tande).\nImèl DHE pou plis enfòmasyon.",,{'url': 'http://www1.nyc.gov/site/finance/pay-now/person.page'}
Tax credit for working individuals and families,English,\nLearn more about tax credits (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) you can claim.\nCall 800-906-9887 to find the nearest Volunteer Income Tax Assistance (VITA) or Tax Counseling for the Elderly (TCE).,,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
Programas extracurriculares para estudiantes,Spanish,"En líneaObtenga más información sobre COMPASS en (http://www1.nyc.gov/site/dycd/services/after-school/comprehensive-after-school-system-of-new-york-city-compass.page) DYCD.Por teléfonoLlame a Conexión Juvenil (Youth Connect) del DYCD al 800-246-4646 o al 646-343-6800. También puede hablar con el personal del programa extracurricular de la escuela de su hijo para obtener más información.Llame al 311Solicite ""Asistencia integral para el programa extracurricular"".",,
Ulga podatkowa dla rodzin z dziećmi,Polish,"\nDowiedz się więcej o innych ulgach podatkowych na stronie Departamentu Spraw Konsumenckich i Ochrony Pracowników miasta Nowy Jork (NYC Department of Consumer and Worker Protection) (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) .\nZadzwoń pod numer 800-906-9887, aby znaleźć najbliższą placówkę oferującą pomoc w rozliczaniu podatku dochodowego (Volunteer Income Tax Assistance, VITA) lub doradztwa podatkowego dla osób starszych (Tax Counseling for the Elderly, TCE).",,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
為子女及受撫養人照護支付費用的退稅,Chinese (Traditional),,,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
買食物的錢,Chinese (Traditional),"\n造訪 SNAP 網站 (https://www1.nyc.gov/site/hra/help/snap-benefits-food-program.page) 瞭解更多資訊。\n致電 HRA 資訊熱線 718-557-1399 (https://www1.nyc.gov/site/hra/locations/snap-locations.page) 獲得申請 SNAP 的幫助。\n親自前往 SNAP 中心 (https://www1.nyc.gov/site/hra/partners/find-a-partner-organization.page) 或當地社區型組織 (Community-Based Organization, CBO) 尋求協助。",,{'url': 'https://www1.nyc.gov/site/hra/locations/snap-locations.page'}
Free Pre-K for four-year-olds,English,\nVisit the NYC DOE Pre-K website (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/pre-k) to learn more about the pre-K admissions process.\nEmail es_enrollment@schools.nyc.gov (mailto:es_enrollment@schools.nyc.gov) if you have questions about getting into pre-K.,"Enroll over the phone by calling 718-935-2009.\nApply from January 15, 2025 to February 28, 2025.\nInterpretation services are available in more than 200 languages.",
"Ежемесячная денежная помощь, когда Вы в ней нуждаетесь",Russian,"\nПосетите сайт Cash Assistance (http://www1.nyc.gov/site/hra/help/cash-assistance.page) , чтобы подробнее узнать об этой программе.\nДля получения подробной информации позвоните на информационную линию HRA (HRA Infoline) по телефону 718-557-1399.",,{'url': 'http://www1.nyc.gov/site/hra/locations/job-locations.page'}
