unique_id_number,program_description,plain_language_program_name,brief_excerpt,plain_language_eligibility,how_to_apply_summary,program_code,government_agency,get_help_by_calling_other,apply_by_mail_call_to_action
P006p,"EITC jest ulgą podatkową dla kwalifikujących się rodzin, rodziców pozbawionych opieki prawnej oraz osób fizycznych pracujących na pełny etat, część etatu lub w ramach samozatrudnienia. Ulga EITC występuje w wersji federalnej, stanowej i dla miasta Nowy Jork.",Ulga podatkowa dla pracujących osób i rodzin,"Ulga podatkowa o wartości do $11,000 dla kwalifikujących się rodzin, rodziców pozbawionych opieki prawnej oraz osób fizycznych pracujących na pełny etat, część etatu lub w ramach samozatrudnienia.","Uprawnienia do federalnej ulgi EITC\nMieć ważny numer ubezpieczenia społecznego (Social Security Number, SSN).\nDo kryteriów należą: sytuacja dochodowa, stan cywilny i status rodzicielski w 2024 roku.\nOsoba pozostająca w związku małżeńskim, posiadająca dzieci uprawniające do ulgi i zarabiająca do $66,819\nOsoba pozostająca w związku małżeńskim, bez dzieci uprawniających do ulgi i zarabiająca do $25,511\nOsoba samotna posiadająca dzieci uprawniające do ulgi i zarabiająca do $59,899\nOsoba samotna bez dzieci uprawniających do ulgi i zarabiająca do $18,591\nPosiadanie dzieci uprawniających do ulgi, w tym dzieci biologicznych, pasierbów, dzieci przysposobionych i wnuków.\nW przypadku osób bezdzietnych ulga EITC dotyczy wyłącznie mieszkańców między 25. a 64. rokiem życia.\nOsoba pozostająca w związku małżeńskim, składająca oddzielne zeznanie: małżonek/małżonka, który(-a) nie składa wspólnego zeznania, może ubiegać się o ulgę EITC, jeśli:\nposiada uprawnione do ulgi dziecko, które mieszkało z nim/nią przez ponad pół roku, oraz\nzgodnie z prawem stanowym na koniec roku 2024 pozostawał(a) w prawnie orzeczonej separacji lub nie mieszkał(a) ze współmałżonkiem/współmałżonką przez 6 ostatnich miesięcy 2024 roku.\nUzyskiwanie w 2024 roku dochodów z inwestycji w kwocie niższej niż $11,600.* Jeśli nadal nie masz pewności, czy spełniasz kryteria kwalifikacji, możesz skorzystać zkalkulatora IRS, który pomoże w ustaleniu uprawnień (https://www.irs.gov/credits-deductions/individuals/earned-income-tax-credit/use-the-eitc-assistant) . Uprawnienia do ulgi EITC w stanie Nowy Jork\nnie wystąpiła(a) o ulgę podatkową od dochodów uzyskiwanych przez rodziców niesprawujących opieki nad (https://www.tax.ny.gov/pit/credits/nceic.htm) dzieckiem oraz\nspełnił(a) kryteria kwalifikacji i wystąpiono o federalną ulgę EITC.Uprawnienia do ulgi EITC w mieście Nowy Jork\nmieszkał(a) w mieście Nowy Jork przez pełny rok lub część roku oraz\nwystąpił(a) o federalną ulgę od uzyskanych dochodów.",,S2R006,,"Znajdź placówkę VITA lub TCE Zadzwoń pod numer800-906-9887, aby znaleźć najbliższą placówkę oferującą pomoc w rozliczaniu podatku dochodowego (Volunteer Income Tax Assistance, VITA) lub doradztwa podatkowego dla osób starszych (Tax Counseling for the Elderly, TCE).",
P018r,"В рамках Программы налоговых льгот для ветеранов снижаются налоги на недвижимость для ветеранов, которые соответствуют критериям, их супругов или не состоящих в браке переживших супругов, а также родителей военнослужащих, погибших при исполнении служебных обязанностей (Gold Star parent).",Программа налоговых льгот для ветеранов,"Снижение налогов на недвижимость для ветеранов, участвовавших в определенных военных операциях.","Вы соответствуете критериям получения льгот для ветеранов, только если можете утвердительно ответить на все приведенные ниже вопросы.\nЯвляетесь ли вы действующим владельцем, супругом или вдовой/вдовцом владельца недвижимости, не состоящим с вами в браке?\nЯвляется ли недвижимость вашим основным местом жительства?\nЯвляетесь ли вы ветераном, который служил в вооруженных силах США во время одного из следующих конфликтов?\nВойна в Персидском заливе (включает войны в Афганистане и Ираке) — со 2 августа 1990 года по настоящее время\nВойна во Вьетнаме — с 1 ноября 1955 года по 7 мая 1975 года\nКорейская война — с 27 июня 1950 года по 31 января 1955 года\nВторая мировая война — с 7 декабря 1941 года по 31 декабря 1946 года\nПервая мировая война — с 6 апреля 1917 года по 11 ноября 1918 года","Подайте заявление до 15 марта, чтобы начать пользоваться льготами с 1 июля этого года. Если 15 марта выпадает на выходной или праздничный день, крайним сроком считается следующий рабочий день.\nПодача заявления через Интернет: (https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_VET) заполните заявление онлайн (https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_VET_COOP) . Если вы живете в кооперативе, используйте форму (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/veterans.pdf) заявления для кооперативов (http://www1.nyc.gov/site/finance/pay-now/person.page) .\nПодача заявления по почте: (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) загрузите и распечатайте заявление об освобождении или позвоните по номеру 311, чтобы запросить отправку бумажной копии вам на адрес. Отправьте заполненное заявление и документы по такому адресу:New York City Department of Finance P.O. BOX 311 Maplewood, NJ 07040-0311\nПодача заявления лично: придите в отделение Департамента финансов в бизнес-центре.При подаче заявления вам понадобится информация о районе, блоке и лоте (Borough-Block-Lot, BBL) вашего дома.Для получения этой информации воспользуйтесь поиском по адресу недвижимости.",S2R018,NYC Департамент финансов,,Скачать форму
P009r,"Учащиеся могут записаться на одну из сотен различных программ послешкольных занятий в городе Нью-Йорке на портале COMPASS NYC. В рамках программ COMPASS предлагается помощь в выполнении домашних заданий, занятия спортом, искусством и многое другое. Занятия проводятся бесплатно в разных районах города.",Программы послешкольных занятий для учащихся,На портале COMPASS NYC представлены сотни различных программ для детей и подростков от детского сада до 12-го класса.,"Участие в программах COMPASS в г. Нью-Йорке могут принимать все школьники с 0-го по 12-й классы.Каждая программа имеет свои требования к участникам, в том числе возрастные.","Найти программу через ИнтернетИспользуйте портал Discover DYCD для поиска программ в своем районе.\nПерейдите на сайт Discover DYCD (https://discoverdycd.dycdconnect.nyc/programme-public?categoryList=Afterschool%20Programs) .\nВыберите «программы послешкольного образования» (afterschool programs) и нажмите «Поиск» (Search).ЛичноЧтобы записать своего ребенка в программу COMPASS NYC, свяжитесь с представителем внеклассной программы, которую посещает ребенок.",S2R009,"Департамент по делам молодежи и общественного развития г. Нью-Йорка (NYC Department of Youth and Community Development, DYCD)","По телефонуПозвоните в службу Youth Connect при DYCD по номеру 800-246-4646 или 646-343-6800. Чтобы получить дополнительную информацию, вы также можете поговорить с представителем внеклассной программы в школе, которую посещает ваш ребенок.",
P010en,Your family can get cash if you're in need. Many families will get the funds on a debit card that can be used at any ATM or store where EBT cards are accepted. Some families may only qualify to get funds paid directly to their landlord.,Monthly cash help when you are in need,"Cash assistance can help you pay rent, utilities, and other emergency expenses.",This program looks at several things to decide if you are eligible. Some of them include:\nhow much money you earn\nhow much money you receive from benefits\nhow many people live in your house\nresources like cash or a checking account,"Apply online\nApply on (https://a069-access.nyc.gov/accesshra/) ACCESS HRA (http://www1.nyc.gov/site/hra/locations/job-locations.page) . You can apply for Cash Assistance, SNAP, and Medicaid at the same time.\nUse the (https://otda.ny.gov/programs/applications/2921.pdf) ACCESS HRA mobile app (http://www1.nyc.gov/site/hra/locations/job-locations.page) to track the progress of your application or submit documents.\nCall the phone number on your confirmation or next steps page for your interview. You can also visit an HRA Benefits Access Center (http://www1.nyc.gov/site/hra/locations/job-locations.page) for an in-center interview.Apply by mail\n (http://www1.nyc.gov/site/hra/locations/job-locations.page) Print the application and complete it. \nMail it to or drop it off at an HRA Benefits Access Center.\nYou will get a letter with the phone number to call for your phone interview. You can also visit an HRA Benefits Access Center for an in-center interview.Apply in personVisit an open HRA Benefits Access Center to apply. It will help if you bring proof of your identity, where you live, who lives with you, and your income. A worker will tell you which of these things you must prove.",S2R010,NYC Human Resources Administration (HRA),Call the HRA Infoline Call the HRA Infoline at 718-557-1399 for more information.,Download the form
P015en,SCRIE helps eligible senior citizens 62 and older stay in affordable housing by freezing their rent. Tenants can keep paying what they were paying even if their landlord increases the rent. The landlord gets a property tax credit that covers the difference between the new and original rent amount.,Rent freeze for seniors,A rent freeze program to help seniors 62 and older stay in their home.,"To be eligible for SCRIE, you should be able to answer ""yes"" to all of these questions:\nAre you 62 or older?\nIs your name on the lease (or the share certificate if you live in a Mitchell-Lama development)?\nIs your combined household income $50,000 or less in a year?\nDo you spend more than one-third of your monthly income on rent?\nDo you live in NYC in one of these types of housing?\na rent stabilized apartment\na rent controlled apartment\na rent regulated hotel or single room occupancy unit\na Mitchell-Lama development\na Limited Dividend Housing Company development\na Redevelopment Company development\na Housing Development Fund Company development","Apply through the Department of Finance (DOF) if you live in a:\nrent stabilized apartment\nrent controlled apartment\nrent regulated hotel or single room occupancy unitIf you are applying for SCRIE for the first time, you can apply online through the Department of Finance (DOF) (https://www1.nyc.gov/site/rentfreeze/tools/nyc-tap.page) . You can also (https://www1.nyc.gov/assets/finance/jump/dof-appointments.html) schedule a virtual appointment (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/scrie/scrie-initial-application-only.pdf) to apply for SCRIE. To apply by mail, (https://www1.nyc.gov/assets/hpd/downloads/pdfs/services/scrie-application.pdf) download the DOF SCRIE application (mailto:SCRIE@hpd.nyc.gov) . Mail your completed and signed application along with the supporting documents to:Rent Freeze Program – SCRIEP.O. Box 3179Union, NJ 07083Apply through the Department of Housing Preservation and Development (HPD) if you live in a:\nMitchell-Lama development\nRedevelopment Company development\nHDFC\nfederally-assisted 213 co-op Download and complete the HPD SCRIE application. Email your completed HPD SCRIE application to SCRIE@hpd.nyc.gov or mail it to:HPD SCRIE Unit100 Gold Street, 7th floorNew York, New York, 10038",S2R015,NYC Department of Finance (DOF); NYC Housing Preservation and Development (HPD),Call SCRIE using TTY Call 212-639-9675 (https://www.nyc.gov/site/mayorspeu/index.page) if you have a hard time hearing. Call HPD Call 212-863-8494 if you have questions about HPD-supervised SCRIE.Get help with the applicationCall 929-252-7242 to get one-on-one help with applying for DHE from an NYC Public Engagement Unit Specialist.,
P007a,احصل على مساعدة في دفع ثمن مشتريات البقالة من خلال برنامج SNAP، المعروف سابقًا باسم كوبونات المعونات الغذائية. ستحصل على أموال مضافة لبطاقة الخصم التي يمكن استخدامها في العديد من محلات البقالة وأسواق المزارعين.,المال لشراء الغذاء,يمكن لمخصصات برنامج SNAP أن تساعدك على إمداد عائلتك بأطعمة طازجة وصحية.,\nيبحث هذا البرنامج في عدة أشياء لتحديد إذا ما كنت مؤهلًا أم لا. وتتضمن:مقدار ما تجنيه من المال\nمقدار المال الذي تحصل عليه من المخصصات\nعدد أفراد أسرتك,"هناك العديد من الطرق التي يمكنك من خلالها التقدم بطلب للحصول على مخصصات SNAP:\nالتقدم بطلب عبر الإنترنت باستخدام (https://a069-access.nyc.gov/ACCESSNYC/application.do) ACCESS HRA (https://www1.nyc.gov/site/hra/locations/locations.page) . يمكنك التقدم للحصول على مخصصات برنامج المساعدات النقدية وSNAP وتجديد Medicaid كلها في نفس الوقت.\nتقديم الطلب بالحضور الشخصي في أي مركز SNAP (https://www1.nyc.gov/site/hra/partners/find-a-partner-organization.page) أو في منظمة مجتمعية (https://www1.nyc.gov/site/hra/locations/job-locations.page) (CBO) مشاركة.\nإذا كنت تقدم طلبًا للحصول على مخصصات برنامج المساعدات النقدية، يمكنك التقدم للحصول على مخصصات برنامج SNAP في نفس الوقت في أحد مراكز توظيف HRA (http://otda.ny.gov/programs/applications/4826.pdf) .\nالتقديم عن طريق البريد أو الفاكس: قم بتنزيل الطلب أو اتصل بخط معلومات HRA علىالرقم 1399-557-718 لإرسال طلب إليك عبر البريد. أرسل طلبك المكتمل بالفاكس إلى 1111-639-917 أو أرسله بالبريد إلى:Division of SNAP Services, Mail Application & Referral Unit (MARU) P.O. Box 24510 Brooklyn, NY, 11201",S2R007,مصلحة الموارد الإنسانية NYC,اتصل بإدارة الموارد البشرية اتصل بقسم معلومات HRA على رقم 718-557-1399 لمزيد من المعلومات.,قم بتنزيل النموذج
P005u,DRIE معذور اہل قرار پانے والے کرایہ داروں کا کرایہ منجمد کر کے سستی رہائش میں رہنے میں مدد کرتا ہے۔ کرایہ دار منجمد کرایہ ادا کرتے ہیں۔ پراپرٹی ٹیکس کریڈٹ اصل کرایہ کی رقم اور منجمد کرایے کے درمیان فرق کا احاطہ کرتا ہے۔,معذوریوں کے حامل افراد کے کرایہ میں اضافہ نہ کرنا,نیو یارک کے اہل باشندوں کو ان کے گھر میں رہنے میں مدد کے لیے رینٹ فریز پروگرام,"DRIE کی اہلیت کے لیے آپ کو درج سوالات کے جوابات """"ہاں"""" میں دینے کے قابل ہونا چاہیئے:\nکیا آپ کی عمر 18 سال یا زیادہ ہے؟\nکیا لیز میں آپ کا نام شامل ہے؟\nکیا آپ کے گھرانے کی مجموعی سالانہ آمدنی $50,000 یا اس سے کم ہے؟\nکیا آپ اپنی ماہانہ آمدنی کے تیسرے حصے سے زیادہ رقم کرایہ پر خرچ کرتے/کرتی ہیں؟\nکیا آپ کو درج ذیل بینیفٹس سے آمدن حاصل ہوتی ہے؟\nSupplemental Security Income, SSI (ضمنی سیکیورٹی آمدن)\nFederal Social Security Disability Insurance, SSDI (وفاقی سماجی سیکیورٹی معذوری انشورنس)\nU.S. Department of Veterans Affairs (محکمہ برائے سابقہ فوجی معاملات، VA) معذوری کی پینشن یا معاوضہ\nمعذوری سے متعلق Medicaid، اگر آپ نے ماضی میں SSI یا SSDI وصول کی ہو\nکیا آپ NYC میں درج ذیل میں سے کسی قسم کی رہائش گاہ میں رہتے/رہتی ہیں؟\nمستحکم شدہ کرایہ کا اپارٹمنٹ\nکنٹرول شدہ کرایہ کا اپارٹمنٹ\nMitchell-Lama ڈیولپمنٹ\nلمیٹڈ ڈیویڈینڈ (Limited Dividend) ڈیولپمنٹ\nRedevelopment Company (ری ڈیولپمنٹ کمپنی) کی ڈیولپمنٹ\nHousing Development Fund Company (ہاؤسنگ ڈیولپمنٹ فنڈ کمپنی، HDFC) کی کوآپریٹو ڈیولپمنٹ\nسیکشن 213 کے تحت کوئی کوآپریٹو یونٹ\nزیر ضابطہ کرایہ کا کوئی ہوٹل یا سنگل روم کا کوئی رہائشی یونٹ","آن لائناگر آپ پہلی بار DRIE کیلئے درخواست دے رہے ہیں، تو آپ آن لائن (https://www1.nyc.gov/site/rentfreeze/tools/nyc-tap.page) درخواست دے سکتے ہیں۔DRIE کی درخواست دینے کیلئے (https://www1.nyc.gov/assets/finance/jump/dof-appointments.html) ورچوئل اپائنٹمنٹ کا شیڈول بنائیں (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/drie/drie-initial-application-only.pdf) ۔بذریعہ ڈاک\nایک (https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page) ابتدائی درخواست پرنٹ کریں اور اسے پُر کریں۔ آپ DRIE اسسٹنس سنٹر جا کر بھی ایک اپلیکیشن لے سکتے ہیں یا 311 پر کال کر کے درخواست کر سکتے ہیں کہ آپ کو ایک ایپلیکیشن بھیج دی جائے۔\nمعاون دستاویزات کے ساتھ اپنی مکمل اور دستخط شدہ درخواست بذریعہ ڈاک بھیجیں:Rent Freeze Program – DRIEP.O. Box 3179Union, NJ 07083ذاتی طور پردرخواست دینے کیلئے اپنے نزدیک ایک محکمہ مالیات کا امدادی مرکز تلاش کریں۔ آپ کو کسی سنٹر میں جانے کیلئے اپائنٹمنٹ لینا پڑ سکتا ہے۔بذریعہ فوناگر آپ ہاؤسنگ ڈیولپمنٹ فنڈ کمپنی (Housing Development Fund Company, HDFC) اپارٹمنٹ میں رہتے ہیں، تو DRIE کی درخواست دینے کیلئے HPD کو 8494-863-212 پر کال کریں۔",S2R005,"NYC محکمہ مالیات (Department of Finance, DOF); NYC ہاؤسنگ پریزرویشن اینڈ ڈویلپمنٹ (Housing Preservation and Development, HPD)",ٹی ٹی وائی کے ذریعے DRIE کو کال کریںاگر آپ کو سننے میں دشواری ہوتی ہے، تو 9675-639-212 پرکال کریں۔,فارم ڈاؤن لوڈ کریں
P005a,يساعد DRIE المستأجرين المؤهلين من ذوي الإعاقة على البقاء في مساكن بأسعار ميسورة التكلفة من خلال تجميد قيمة الإيجار. ويدفع المستأجرون قيمة الإيجار المُجمَّدة. تتم تغطية الفرق بين قيمة الإيجار الفعلية وقيمة الإيجار المجمَّدة من خلال خصمٍ على الضرائب العقارية.,تجميد الإيجار لذوي الاحتياجات الخاصة,برنامج تجميد الإيجارات لمساعدة سكان نيويورك المؤهلين على البقاء في منازلهم,"\nلتصبح مؤهلاً لبرنامج إعفاء زيادة الإيجار لذوي الاحتياجات الخاصة (DRIE)، يجب أن تتوافر بك الشروط التالية:هل عُمرك 18 عاماً أو أكثر؟\nهل اسمك مدرجًا في عقد الإيجار\nهل قيمة دخل الأسرة 50,000 دولار أمريكي أو أقل في العام؟\nهل تنفق أكثر من ثلث دخلك الشهري على الإيجار؟\nهل أنت ممن يحصلون على دخل من المزايا التالية؟\nدﺧﻞ اﻟﻀﻤﺎن اﻟﺘﻜﻤﻴﻠﻲ ((Supplemental Security Income (SSI)\nتأمين الضمان الاجتماعي الاتحادي ضد الإعاقات (Federal Social Security Disability Insurance (SSDI))\nمعاش العجز أو التعويض من U.S. Department of Veterans Affairs (VA).\nالمساعدة الطبية المتعلقة بالعجز إذا تلقيت برنامج SSI أو SSDI سابقاً\nهل تعيش في مدينة نيويورك في أحد أنواع هذه المنازل؟\nشقة مستأجرة مستقرة\nشقة مستأجرة متحكم بها\nشقق برنامج (Mitchell-Lama)\nشقق محدود الربحية\nشقق شركة إعادة تعميرشقق شركة (Housing Development Fund Company (HDFC) Cooperative)\n213 وحدة تعاون القسم\nإيجار ينظمه فندق أو وحدة إشغال مكونة من غرفة واحدة","عبر الإنترنتإذا كنت ستقدم طلبًا للاستفادة من برنامج DRIE للمرة الأولى، فيمكنك تقديم طلبك عبر الإنترنت (https://www1.nyc.gov/site/rentfreeze/tools/nyc-tap.page) . (https://www1.nyc.gov/assets/finance/jump/dof-appointments.html) حدد موعدًا عبر الوسائل الافتراضية (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/drie/drie-initial-application-only.pdf) لتقديم طلبك إلى DRIE.عبر البريد\nاطبع (https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page) طلبًا مبدئيًا وقم بتعبئته. كما يمكنك أيضًا استلام طلب من أحد مراكز المساعدة لدى SCRIE أو الاتصال على الرقم 311 لطلب إرسال طلب إليك عبر البريد العادي.\nأرسل طلبك المكتمل والموقع عليه عبر البريد مع إرفاق المستندات الداعمة معه إلى العنوان:Rent Freeze Program – DRIEP.O. Box 3179Union, NJ 07083 الحضور شخصيًااعثر على مركز مساعدة لدى إدارة الشؤون المالية بالقرب منك لتقديم طلبك. قد تحتاج إلى تحديد موعد لزيارة أحد المراكز.عن طريق الهاتفإذا كنت تعيش في شقة تابعة لشركة Housing Development Fund Company (HDFC)، فاتصل بإدارة HPD على الرقم 8494-863-212 للتقدم بطلب للاستفادة من برنامج DRIE.",S2R005,"إدارة الشؤون المالية (DOF) في مدينة نيويورك (Department of Finance, DOF); إدارة الحفاظ على المساكن وتطويرها (HPD) في مدينة نيويورك (Housing Preservation and Development, HPD)",الاتصال بمركز DRIE باستخدام الهاتف النصياتصل بالرقم 9675-639-212 ، إذا كنت تعاني من صعوبة في السمع,دمل الاستمارة
P011b,"Qualified Health Plans বা যোগ্য স্বাস্থ্য পরিকল্পনা হল এমন একটিবেসরকারী স্বাস্থ্য বীমা পরিকল্পনা যেটিতে কভারেজ পাওয়ার জন্য আপনিমাসে মাসে একটি নির্দিষ্ট পরিমাণ অর্থ প্রদান করে থাকেন। এছাড়া,কোপেমেন্ট,ডিডাক্টিবল এবং কোইনসিওরেন্স (https://www.nyc.gov/site/ochia/coverage-care/insurance-a-z.page#C) -এর মতো নিজের পকেট থেকে অর্থপ্রদান করার খরচও আছে।",বেসরকারী স্বাস্থ্য বীমা পরিকল্পনা,যোগ্য স্বাস্থ্য পরিকল্পনা Qualified Health Plan হল এমন এক ধরনেরস্বাস্থ্য বীমা পরিকল্পনা যেটিতে আপনি কভারেজ পাওয়ার জন্য প্রতি মাসেএকটি নির্দিষ্ট পরিমাণ অর্থ প্রদান করে থাকেন।,\nযে কেউ যোগ্য স্বাস্থ্য পরিকল্পনা বা কোয়ালিফাইড হেল্থ প্ল্যান -এনাম নথিভুক্ত করতে পারে।বেশিরভাগঅভিবাসী NY State of Health Marketplace নাম নথিভুক্ত করতে পারেন।সরকারী আর্থিক সহায়তা উপলভ্য।\nযে কেউ কোনোএকটি বীমা কোম্পানীকে কল করে বা তাদের ওয়েবসাইটে গিয়ে সরাসরি সেইবীমা কোম্পানি থেকে বেসরকারী স্বাস্থ্য বীমা কিনতে পারে।,"NY স্টেট হেলথের মাধ্যমে নথিভুক্ত করুন65 বছরের কম বয়সী প্রাপ্তবয়স্কদের, স্বল্প আয়ের গর্ভবতী মহিলাএবং শিশুদের NY স্টেট হেলথের মাধ্যমে স্বাস্থ্য বিমাতে নথিভুক্ত করাউচিত।\nNY স্টেট হেলথের (https://nystateofhealth.ny.gov/) মাধ্যমে নথিভুক্তকরুন\nএকজন (https://nystateofhealth.ny.gov/agent/hx_brokerSearch?fromPage=INDIVIDUAL) স্বাস্থ্য বিমাসহকারীর (https://www1.nyc.gov/assets/ochia/downloads/pdf/facilitated-enrollers.pdf) মাধ্যমে ব্যক্তিগতভাবে নথিভুক্ত করুন।\n855-355-5777 (https://www.health.ny.gov/forms/doh-4220.pdf) কল করুন বা TTY:800-662-1220 (https://www.health.ny.gov/forms/doh-5178a.pdf) ।HRA এর মাধ্যমে নথিভুক্ত করুনএই গ্রুপের লোকেরা HRA এর মাধ্যমে Medicaid এবং অন্যান্যপ্রোগ্রামে নথিভুক্ত করতে পারেন:\n65 বা তার বেশি\nMedicare গ্রহণ করছেন এবং নাবালক শিশুদের পিতা-মাতা/তত্ত্বাবধায়কআত্মীয় নন\nঅক্ষমতা বা অন্ধত্ব নিয়ে বসবাস থাকছেন\n26 বছরের কম বয়সী তরুণ প্রাপ্তবয়স্ক যারা আগে ফস্টার কেয়ারেরঅধীনে ছিলতালিকাভুক্ত করার:\nএকজন সুবিধাপ্রাপ্তনথিভুক্তকারীর সাথে যোগাযোগ করুন।\n888-692-6116 নম্বরে HRA হেল্পলাইনে কলকরুন।Medicaid এর আবেদনের জন্য ইমেইল করুনআপনি যদি এইগুলির মধ্যে একজন হন তাহলে Medicaid-এ ইমেইলে আবেদনকরুন:\n65 বছর বা তার বেশি বয়সী\nপ্রত্যয়িত অন্ধ\nপ্রত্যয়িত অক্ষম\nপ্রাতিষ্ঠানিক এবং নার্সিং হোম কেয়ার কভারেজের জন্য আবেদন।আবেদন এবং সম্পূরক A ফর্মটি সম্পূর্ণ করুন। আপনারআবেদন এখানে ইমেইল করুন:MAP Initial Eligibility UnitPO Box 24390,Brooklyn, NY 11202",S2R011,"NYC মানবসম্পদ প্রশাসন (Human Resources Administration, HRA) /NYS স্বাস্থ্য বিভাগ (NYS Department of Health)",,
P010p,"Twoja rodzina może otrzymać pieniądze, gdy znajdzie się w potrzebie. Wiele rodzin otrzyma środki na kartę debetową, której będzie można używać w dowolnym bankomacie lub sklepie przyjmującym karty EBT. Niektóre rodziny mogą kwalifikować się tylko do bezpośredniej zapłaty na rzecz właściciela nieruchomości.","miesięczna pomoc finansowa, gdy jesteś w potrzebie","Pomoc pieniężna (Cash Assistance) jest w stanie zapewnić pomoc w opłacaniu rachunków za czynsz, media i pokrywaniu innych pilnych wydatków.","\nAby wziąć udział w programie, należy spełniać kilka warunków. Oto niektóre z nich:ile zarabiasz\nile pieniędzy otrzymujesz w ramach świadczeń\nile osób mieszka w Twoim domu\nśrodki, takie jak gotówka lub konto rozliczeniowe","Złóż wniosek online\nZłóż wniosek za pośrednictwem (https://a069-access.nyc.gov/accesshra/) ACCESS HRA (http://www.nyc.gov/accesshramobile) . Wniosek o odnowienie uczestnictwa w programie pomocy pieniężnej, programie SNAP oraz Medicaid można złożyć jednocześnie, korzystając z wniosku programu pomocy pieniężnej.\nSkorzystaj z aplikacji na urządzenia mobilne (http://www1.nyc.gov/site/hra/locations/job-locations.page) ACCESS HRA, (https://otda.ny.gov/programs/applications/2921.pdf) aby śledzić postępy w rozpatrywaniu wniosku lub dostarczyć dodatkowe dokumenty.\nSkontaktujemy się z Tobą w celu przeprowadzenia rozmowy drogą telefoniczną. Możesz również odwiedzić centrum HRA (http://www1.nyc.gov/site/hra/locations/job-locations.page) i odbyć rozmowę osobiście.Złóż wniosek pocztą tradycyjną\n (http://www1.nyc.gov/site/hra/locations/job-locations.page) Wydrukuj i wypełnij (http://www1.nyc.gov/site/hra/locations/job-locations.page) wniosek.\nWniosek prześlij pocztą albo wrzuć go do skrzynki podawczej w Centrum Pracy HRA.\nSkontaktujemy się z Tobą w celu przeprowadzenia rozmowy drogą telefoniczną. Możesz również odwiedzić centrum HRA i odbyć rozmowę osobiście.Złóż wniosek osobiścieAby złożyć wniosek, odwiedź Centrum Pracy HRA. Dla ułatwienia można zabrać swój dowód osobisty, przekazać informacje na temat miejsca zamieszkania, osób w gospodarstwie domowym oraz wysokości swoich dochodów. Pracownik przekaże, które dowody są wymagane.",S2R010,NYC Urząd ds. Zasobów Ludzkich,"Zadzwoń na infolinię HRA Zadzwoń na infolinię HRA dostępną pod nr tel. 718-557-1399, aby dowiedzieć się więcej.",Pobierz formularz
P009en,"New York City students can join free afterschool programs that offer homework help, sports, arts, and more. Hundreds of programs are located all over the City.",Afterschool programs for students,COMPASS NYC has hundreds of programs for young people in kindergarten through 12th grade.,All NYC students in kindergarten to 12th grade are eligible to enroll in COMPASS programs. Each program may have different age and eligibility requirements.,"Find a program onlineUse Discover DYCD to search for programs in your area.\nGo to the Discover DYCD (https://discoverdycd.dycdconnect.nyc/programme-public?categoryList=Afterschool%20Programs) website.\nSelect ""afterschool programs"" and click on ""Search"".In-personTo enroll your child in a COMPASS NYC program, contact the afterschool program staff at your child’s school.",S2R009,NYC Department of Youth & Community Development (DYCD),Call Call DYCD Community Connect at 800-246-4646 or 646-343-6800. You can also speak to the afterschool program staff at your child's school for more information.,
P016en,"Pre-K programs help children get a strong start in school and life. Your child can learn to problem-solve, ask questions, and explore the world around them in a safe, nurturing learning community.",Free Pre-K for four-year-olds,"Enroll your child in a free, full-day, high-quality Pre-K program.",All NYC children born in 2021 can enroll for the 2025-2026 school year. This includes children with disabilities (https://www.schools.nyc.gov/enrollment/enrollment-help/meeting-student-needs/students-with-disabilities) or who are learning English (https://www.schools.nyc.gov/enrollment/enrollment-help/meeting-student-needs/students-learning-english) .Children do not need to be toilet trained to attend pre-K.,"Apply to Pre-K in one of these ways:\nOnline with MySchools (https://www.myschools.nyc/en/) . You can apply in English, Arabic, Bengali/Bangla, Chinese, Haitian Creole, French, Korean, Russian, Spanish, or Urdu.\nBy phone by calling 718-935-2009 (https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers) . Interpretation services are available in more than 200 languages. \nIn-person at a Family Welcome Center (https://www.schools.nyc.gov/enrollment/enroll-in-charter-schools/pre-k-charter-schools) .Eligible families can also apply for free or low-cost pre-K programs with an extended day and year, including Head Start. Eligibility is based on income and needs. You can also find half-day pre-K programs and charter school pre-K program in MySchools.",S2R016,NYC Department of Education (DOE),,
